"Data Table: Multiple sclerosis, Crude prevalence, percent"
"Area","Sex","Age Group","Year","Rate (%)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'30-34'","2009","0.15","0.14","0.15","1.95","2620","1780890",
"Canada","Both sexes","'35-49'","2009","0.27","0.27","0.28","0.78","16505","6049685",
"Canada","Both sexes","'35-39'","2009","0.21","0.21","0.22","1.58","3985","1870895",
"Canada","Both sexes","'40-44'","2009","0.27","0.26","0.28","1.37","5345","1966955",
"Canada","Both sexes","'45-49'","2009","0.32","0.32","0.33","1.18","7175","2211840",
"Canada","Both sexes","'50-64'","2009","0.37","0.36","0.38","0.71","19615","5304070",
"Canada","Both sexes","'50-54'","2009","0.37","0.36","0.38","1.15","7565","2045755",
"Canada","Both sexes","'55-59'","2009","0.38","0.37","0.39","1.22","6700","1756135",
"Canada","Both sexes","'60-64'","2009","0.36","0.35","0.37","1.37","5340","1502170",
"Canada","Both sexes","'65-79'","2009","0.25","0.25","0.26","1.22","6695","2665810",
"Canada","Both sexes","'65-69'","2009","0.31","0.30","0.32","1.71","3420","1097740",
"Canada","Both sexes","'70-74'","2009","0.23","0.22","0.24","2.25","1970","856525",
"Canada","Both sexes","'75-79'","2009","0.18","0.17","0.19","2.77","1305","711555",
"Canada","Both sexes","'80+'","2009","0.12","0.12","0.13","2.69","1385","1124950",
"Canada","Both sexes","'80-84'","2009","0.15","0.14","0.16","3.47","830","551175",
"Canada","Both sexes","'85-89'","2009","0.11","0.10","0.12","5.00","400","360610",
"Canada","Both sexes","'90+'","2009","0.08","0.06","0.09","7.91","160","213170",
"Canada","Both sexes","'20+'","2010","0.25","0.24","0.25","0.44","51555","20923690",
"Canada","Both sexes","'20-34'","2010","0.09","0.09","0.09","1.41","5065","5499595",
"Canada","Both sexes","'20-24'","2010","0.03","0.03","0.04","4.05","610","1811125",
"Canada","Both sexes","'25-29'","2010","0.09","0.08","0.09","2.47","1640","1872415",
"Canada","Both sexes","'30-34'","2010","0.15","0.15","0.16","1.89","2810","1816045",
"Canada","Both sexes","'35-49'","2010","0.28","0.28","0.28","0.77","16910","6029085",
"Canada","Both sexes","'35-39'","2010","0.22","0.21","0.23","1.57","4075","1861815",
"Canada","Both sexes","'40-44'","2010","0.28","0.27","0.29","1.35","5490","1970690",
"Canada","Both sexes","'45-49'","2010","0.33","0.33","0.34","1.17","7345","2196580",
"Canada","Both sexes","'50-64'","2010","0.38","0.37","0.38","0.69","20820","5493265",
"Canada","Both sexes","'50-54'","2010","0.37","0.36","0.38","1.13","7805","2097540",
"Canada","Both sexes","'55-59'","2010","0.40","0.39","0.41","1.18","7220","1820805",
"Canada","Both sexes","'60-64'","2010","0.37","0.36","0.38","1.31","5795","1574915",
"Canada","Both sexes","'65-79'","2010","0.27","0.26","0.27","1.17","7295","2738870",
"Canada","Both sexes","'65-69'","2010","0.33","0.32","0.34","1.64","3730","1139860",
"Canada","Both sexes","'70-74'","2010","0.25","0.24","0.26","2.13","2200","881510",
"Canada","Both sexes","'75-79'","2010","0.19","0.18","0.20","2.71","1360","717505",
"Canada","Both sexes","'80+'","2010","0.13","0.12","0.13","2.61","1470","1162880",
"Canada","Both sexes","'80-84'","2010","0.16","0.15","0.17","3.36","885","561745",
"Canada","Both sexes","'85-89'","2010","0.11","0.10","0.12","4.91","415","370855",
"Canada","Both sexes","'90+'","2010","0.07","0.06","0.09","7.67","170","230285",
"Canada","Both sexes","'20+'","2011","0.25","0.25","0.25","0.43","53510","21317410",
"Canada","Both sexes","'20-34'","2011","0.09","0.09","0.09","1.40","5135","5610695",
"Canada","Both sexes","'20-24'","2011","0.03","0.03","0.03","4.19","570","1840310",
"Canada","Both sexes","'25-29'","2011","0.09","0.08","0.09","2.47","1640","1908515",
"Canada","Both sexes","'30-34'","2011","0.16","0.15","0.16","1.85","2915","1861860",
"Canada","Both sexes","'35-49'","2011","0.28","0.28","0.29","0.77","17020","6010960",
"Canada","Both sexes","'35-39'","2011","0.22","0.21","0.23","1.56","4100","1865535",
"Canada","Both sexes","'40-44'","2011","0.28","0.28","0.29","1.33","5635","1981470",
"Canada","Both sexes","'45-49'","2011","0.34","0.33","0.34","1.17","7285","2163955",
"Canada","Both sexes","'50-64'","2011","0.39","0.38","0.39","0.68","21730","5626805",
"Canada","Both sexes","'50-54'","2011","0.38","0.37","0.38","1.11","8065","2141710",
"Canada","Both sexes","'55-59'","2011","0.40","0.39","0.41","1.15","7585","1886105",
"Canada","Both sexes","'60-64'","2011","0.38","0.37","0.39","1.28","6080","1598990",
"Canada","Both sexes","'65-79'","2011","0.28","0.28","0.29","1.11","8080","2872515",
"Canada","Both sexes","'65-69'","2011","0.34","0.33","0.35","1.54","4210","1234270",
"Canada","Both sexes","'70-74'","2011","0.27","0.26","0.28","2.02","2460","913405",
"Canada","Both sexes","'75-79'","2011","0.19","0.18","0.20","2.67","1405","724840",
"Canada","Both sexes","'80+'","2011","0.13","0.12","0.14","2.55","1540","1196435",
"Canada","Both sexes","'80-84'","2011","0.16","0.15","0.17","3.28","930","571660",
"Canada","Both sexes","'85-89'","2011","0.12","0.11","0.13","4.77","440","377865",
"Canada","Both sexes","'90+'","2011","0.07","0.06","0.08","7.56","175","246910",
"Canada","Both sexes","'20+'","2012","0.26","0.25","0.26","0.42","55465","21738480",
"Canada","Both sexes","'20-34'","2012","0.09","0.09","0.09","1.39","5170","5741005",
"Canada","Both sexes","'20-24'","2012","0.03","0.02","0.03","4.52","490","1881950",
"Canada","Both sexes","'25-29'","2012","0.09","0.08","0.09","2.45","1660","1938590",
"Canada","Both sexes","'30-34'","2012","0.16","0.15","0.16","1.82","3025","1920470",
"Canada","Both sexes","'35-49'","2012","0.29","0.28","0.29","0.77","17085","5982805",
"Canada","Both sexes","'35-39'","2012","0.22","0.22","0.23","1.54","4210","1879855",
"Canada","Both sexes","'40-44'","2012","0.28","0.28","0.29","1.33","5635","1988705",
"Canada","Both sexes","'45-49'","2012","0.34","0.33","0.35","1.18","7235","2114235",
"Canada","Both sexes","'50-64'","2012","0.39","0.39","0.40","0.66","22760","5767705",
"Canada","Both sexes","'50-54'","2012","0.38","0.37","0.39","1.09","8350","2185125",
"Canada","Both sexes","'55-59'","2012","0.41","0.40","0.42","1.11","8060","1950935",
"Canada","Both sexes","'60-64'","2012","0.39","0.38","0.40","1.26","6345","1631640",
"Canada","Both sexes","'65-79'","2012","0.29","0.29","0.30","1.06","8855","3017055",
"Canada","Both sexes","'65-69'","2012","0.35","0.34","0.36","1.47","4630","1322765",
"Canada","Both sexes","'70-74'","2012","0.29","0.28","0.30","1.91","2740","955015",
"Canada","Both sexes","'75-79'","2012","0.20","0.19","0.21","2.59","1485","739270",
"Canada","Both sexes","'80+'","2012","0.13","0.12","0.14","2.50","1600","1229925",
"Canada","Both sexes","'80-84'","2012","0.16","0.15","0.17","3.28","930","579865",
"Canada","Both sexes","'85-89'","2012","0.13","0.11","0.14","4.54","485","387100",
"Canada","Both sexes","'90+'","2012","0.07","0.06","0.08","7.35","185","262960",
"Canada","Both sexes","'20+'","2013","0.26","0.26","0.26","0.42","57275","22114410",
"Canada","Both sexes","'20-34'","2013","0.09","0.09","0.09","1.39","5205","5836940",
"Canada","Both sexes","'20-24'","2013","0.02","0.02","0.03","4.71","450","1892860",
"Canada","Both sexes","'25-29'","2013","0.09","0.08","0.09","2.44","1675","1966525",
"Canada","Both sexes","'30-34'","2013","0.16","0.15","0.16","1.80","3085","1977565",
"Canada","Both sexes","'35-49'","2013","0.29","0.28","0.29","0.76","17120","5953055",
"Canada","Both sexes","'35-39'","2013","0.23","0.22","0.24","1.51","4375","1904140",
"Canada","Both sexes","'40-44'","2013","0.29","0.28","0.30","1.32","5710","1981720",
"Canada","Both sexes","'45-49'","2013","0.34","0.33","0.35","1.19","7040","2067205",
"Canada","Both sexes","'50-64'","2013","0.40","0.40","0.41","0.65","23720","5908975",
"Canada","Both sexes","'50-54'","2013","0.39","0.38","0.40","1.08","8605","2223880",
"Canada","Both sexes","'55-59'","2013","0.42","0.41","0.43","1.09","8360","2003110",
"Canada","Both sexes","'60-64'","2013","0.40","0.39","0.41","1.22","6760","1681990",
"Canada","Both sexes","'65-79'","2013","0.30","0.30","0.31","1.02","9585","3155460",
"Canada","Both sexes","'65-69'","2013","0.36","0.35","0.37","1.42","4970","1395895",
"Canada","Both sexes","'70-74'","2013","0.30","0.29","0.31","1.83","2985","1000540",
"Canada","Both sexes","'75-79'","2013","0.21","0.20","0.23","2.48","1630","759025",
"Canada","Both sexes","'80+'","2013","0.13","0.12","0.14","2.47","1645","1259970",
"Canada","Both sexes","'80-84'","2013","0.16","0.15","0.17","3.30","920","587765",
"Canada","Both sexes","'85-89'","2013","0.13","0.12","0.14","4.43","510","393610",
"Canada","Both sexes","'90+'","2013","0.08","0.07","0.09","6.82","215","278600",
"Canada","Both sexes","'20+'","2014","0.26","0.26","0.27","0.41","59250","22439790",
"Canada","Both sexes","'20-34'","2014","0.09","0.09","0.09","1.38","5245","5921230",
"Canada","Both sexes","'20-24'","2014","0.02","0.02","0.02","4.91","415","1893985",
"Canada","Both sexes","'25-29'","2014","0.08","0.08","0.09","2.46","1650","2001135",
"Canada","Both sexes","'30-34'","2014","0.16","0.15","0.16","1.77","3180","2026115",
"Canada","Both sexes","'35-49'","2014","0.29","0.29","0.29","0.76","17235","5932955",
"Canada","Both sexes","'35-39'","2014","0.23","0.23","0.24","1.49","4475","1929525",
"Canada","Both sexes","'40-44'","2014","0.29","0.28","0.30","1.32","5750","1973320",
"Canada","Both sexes","'45-49'","2014","0.35","0.34","0.35","1.19","7010","2030110",
"Canada","Both sexes","'50-64'","2014","0.41","0.40","0.41","0.64","24625","6026500",
"Canada","Both sexes","'50-54'","2014","0.39","0.38","0.40","1.07","8790","2239830",
"Canada","Both sexes","'55-59'","2014","0.42","0.42","0.43","1.07","8680","2046875",
"Canada","Both sexes","'60-64'","2014","0.41","0.40","0.42","1.18","7150","1739785",
"Canada","Both sexes","'65-79'","2014","0.32","0.31","0.32","0.98","10445","3292410",
"Canada","Both sexes","'65-69'","2014","0.37","0.36","0.38","1.35","5450","1470785",
"Canada","Both sexes","'70-74'","2014","0.31","0.30","0.33","1.75","3280","1043090",
"Canada","Both sexes","'75-79'","2014","0.22","0.21","0.23","2.41","1725","778545",
